LIFECODES,LIFECODES HLA Genotyping,Kuwait,Gen-Probe Incorporated,1,210
LIFECODES,LIFECODES LSA MIC,Republica Muldova,Gen-Probe Incorporated,1,3524
LIFECODES,LIFECODES Red Cell Genotyping,Czech Republic,Gen-Probe Incorporated,1,4138
LIFECODES,Gen-Probe Fluoroanalyzer,Algeria,Laboratoires AAZ,56,5212
LIFECODES,LIFECODES HLA Genotyping,Algeria,Laboratoires AAZ,56,5697
LIFECODES,LIFECODES KIR Genotyping,Algeria,Laboratoires AAZ,56,244
LIFECODES,LIFECODES Red Cell Genotyping,Algeria,Laboratoires AAZ,56,4696
LIFECODES,LIFECODES Screen & Identification,Algeria,Laboratoires AAZ,56,6243
LIFECODES,LIFECODES LSA Single Antigen,Algeria,Laboratoires AAZ,56,7959
LIFECODES,LIFECODES Donor Specific Antibody,Algeria,Laboratoires AAZ,56,7502
LIFECODES,LIFECODES LSA MIC,Algeria,Laboratoires AAZ,56,4776
LIFECODES,Gen-Probe Fluoroanalyzer,Australia,Diagnostic Solutions,57,1704
LIFECODES,LIFECODES HLA Genotyping,Australia,Diagnostic Solutions,57,763
LIFECODES,LIFECODES KIR Genotyping,Australia,Diagnostic Solutions,57,5168
LIFECODES,LIFECODES Red Cell Genotyping,Australia,Diagnostic Solutions,57,1288
LIFECODES,LIFECODES Screen & Identification,Australia,Diagnostic Solutions,57,1717
LIFECODES,LIFECODES LSA Single Antigen,Australia,Diagnostic Solutions,57,4418
LIFECODES,LIFECODES Donor Specific Antibody,Australia,Diagnostic Solutions,57,3356
LIFECODES,LIFECODES LSA MIC,Australia,Diagnostic Solutions,57,6233
LIFECODES,Gen-Probe Fluoroanalyzer,Austria,Inno-Train Diagnostics GmbH,58,1895
LIFECODES,LIFECODES HLA Genotyping,Austria,Inno-Train Diagnostics GmbH,58,1917
LIFECODES,LIFECODES KIR Genotyping,Austria,Inno-Train Diagnostics GmbH,58,2764
LIFECODES,LIFECODES Red Cell Genotyping,Austria,Inno-Train Diagnostics GmbH,58,4165
LIFECODES,LIFECODES Screen & Identification,Austria,Inno-Train Diagnostics GmbH,58,2564
LIFECODES,LIFECODES LSA Single Antigen,Austria,Inno-Train Diagnostics GmbH,58,3900
LIFECODES,LIFECODES Donor Specific Antibody,Austria,Inno-Train Diagnostics GmbH,58,5320
LIFECODES,LIFECODES LSA MIC,Austria,Inno-Train Diagnostics GmbH,58,5795
LIFECODES,Gen-Probe Fluoroanalyzer,Benelux-France,Gen-Probe Belgium BVBA,59,6433
LIFECODES,LIFECODES HLA Genotyping,Benelux-France,Gen-Probe Belgium BVBA,59,3917
LIFECODES,LIFECODES KIR Genotyping,Benelux-France,Gen-Probe Belgium BVBA,59,322
LIFECODES,LIFECODES Red Cell Genotyping,Benelux-France,Gen-Probe Belgium BVBA,59,1730
LIFECODES,LIFECODES Screen & Identification,Benelux-France,Gen-Probe Belgium BVBA,59,2535
LIFECODES,LIFECODES LSA Single Antigen,Benelux-France,Gen-Probe Belgium BVBA,59,438
LIFECODES,LIFECODES Donor Specific Antibody,Benelux-France,Gen-Probe Belgium BVBA,59,1913
LIFECODES,LIFECODES LSA MIC,Benelux-France,Gen-Probe Belgium BVBA,59,2236
LIFECODES,Gen-Probe Fluoroanalyzer,Brazil,The Bio Group - PH7ID,60,4611
LIFECODES,LIFECODES HLA Genotyping,Brazil,The Bio Group - PH7ID,60,7042
LIFECODES,LIFECODES KIR Genotyping,Brazil,The Bio Group - PH7ID,60,3001
LIFECODES,LIFECODES Red Cell Genotyping,Brazil,The Bio Group - PH7ID,60,7892
LIFECODES,LIFECODES Screen & Identification,Brazil,The Bio Group - PH7ID,60,801
LIFECODES,LIFECODES LSA Single Antigen,Brazil,The Bio Group - PH7ID,60,6560
LIFECODES,LIFECODES Donor Specific Antibody,Brazil,The Bio Group - PH7ID,60,4951
LIFECODES,LIFECODES LSA MIC,Brazil,The Bio Group - PH7ID,60,3869
LIFECODES,Gen-Probe Fluoroanalyzer,Bulgaria,ANTISEL Selidis Bros s.a.,61,6701
LIFECODES,LIFECODES HLA Genotyping,Bulgaria,ANTISEL Selidis Bros s.a.,61,844
