LIFECODES,LIFECODES Coagulation Products,Benelux-France,8419
LIFECODES,LIFECODES HPA Genotyping,Canada,8181
LIFECODES,LIFECODES Coagulation Products,Slovakia,8396
LIFECODES,LIFECODES HPA Genotyping,Singapore,8250
LIFECODES,LIFECODES Serology Products,Chile,8256
LIFECODES,LIFECODES Donor Screening,Bulgaria,8327
LIFECODES,LIFECODES Platelet Antibody Detection Products,Spain,8273
LIFECODES,LIFECODES Serology Products,Morocco,8304
LIFECODES,LIFECODES Platelet Antibody Detection Products,Former Yugoslavia,8204
LIFECODES,LIFECODES Platelet Antibody Detection Products,China,8373
LIFECODES,LIFECODES HLA Genotyping,Europe,8227
LIFECODES,LIFECODES HPA Genotyping,United Arab Emirates,8350
LIFECODES,LIFECODES Serology Products,Italy,8187
LIFECODES,LIFECODES Coagulation Products,Qatar,8390
LIFECODES,LIFECODES Serology Products,Israel,8296
LIFECODES,LIFECODES Donor Screening,Greece,8379
LIFECODES,LIFECODES Platelet Antibody Detection Products,Saudi Arabia,8233
LIFECODES,LIFECODES Serology Products,Algeria,8244
LIFECODES,LIFECODES Platelet Antibody Detection Products,Albania,8333
LIFECODES,LIFECODES Donor Screening,Oman,8287
LIFECODES,LIFECODES HPA Genotyping,Turkey,8290
LIFECODES,LIFECODES Coagulation Products,Greece,8436
LIFECODES,LIFECODES Serology Products,Portugal,8336
LIFECODES,LIFECODES Donor Screening,India,8359
LIFECODES,LIFECODES Coagulation Products,South Africa,8430
LIFECODES,Gen-Probe Fluoroanalyzer,Canada,8173
LIFECODES,LIFECODES Donor Specific Antibody,Europe,8224
LIFECODES,LIFECODES Platelet Antibody Detection Products,South Africa,8353
LIFECODES,LIFECODES Coagulation Products,Columbia,8402
LIFECODES,LIFECODES Donor Screening,Slovakia,8210
LIFECODES,LIFECODES Donor Screening,Malaysia,8367
LIFECODES,LIFECODES Platelet Antibody Detection Products,Brazil,8167
LIFECODES,LIFECODES Coagulation Products,Spain,8410
LIFECODES,LIFECODES Coagulation Products,Israel,8416
LIFECODES,LIFECODES Donor Screening,Iraq,8267
LIFECODES,LIFECODES HPA Genotyping,Benelux-France,8310
LIFECODES,LIFECODES Serology Products,Poland,8316
LIFECODES,LIFECODES Platelet Antibody Detection Products,Jordan,8253
LIFECODES,LIFECODES HPA Genotyping,Europe,8230
LIFECODES,LIFECODES Donor Screening,Tunisia,8347
LIFECODES,LIFECODES Serology Products,Slovakia,8207
LIFECODES,LIFECODES HPA Genotyping,Austria,8370
LIFECODES,LIFECODES Platelet Antibody Detection Products,Qatar,8184
LIFECODES,LIFECODES Coagulation Products,Kuwait,8393
LIFECODES,LIFECODES Coagulation Products,South Korea,8422
LIFECODES,LIFECODES HPA Genotyping,Panama,8201
LIFECODES,LIFECODES Serology Products,Greece,8376
LIFECODES,LIFECODES Serology Products,Bahrain,8276
LIFECODES,LIFECODES Coagulation Products,Europe,8399
LIFECODES,LIFECODES Donor Screening,Algeria,8247
LIFECODES,LIFECODES HPA Genotyping,Romania,8330
LIFECODES,LIFECODES Serology Products,Oman,8284
LIFECODES,LIFECODES Platelet Antibody Detection Products,Indonesia,8293
LIFECODES,LIFECODES Donor Screening,Portugal,8339
LIFECODES,LIFECODES Coagulation Products,Malaysia,8433
LIFECODES,LIFECODES Donor Screening,Italy,8190
LIFECODES,LIFECODES Donor Screening,Taiwan,8387
LIFECODES,LIFECODES Screen & Identification,Canada,8170
LIFECODES,LIFECODES HPA Genotyping,Czech Republic,8193
LIFECODES,LIFECODES Coagulation Products,Oman,8413
LIFECODES,LIFECODES HPA Genotyping,Fyrom,8270
